Left,Gestures,index_finger_dip,index_finger_mcp,index_finger_pip,index_finger_tip,middle_finger_dip,middle_finger_mcp,middle_finger_pip,middle_finger_tip,pinky_finger_dip,pinky_finger_mcp,pinky_finger_pip,pinky_finger_tip,ring_finger_dip,ring_finger_mcp,ring_finger_pip,ring_finger_tip,thumb_cmc,thumb_ip,thumb_mcp,thumb_tip,wrist
1.0,{'Closed_Fist': 0.768792569637299},"{'x': 0.68514609336853, 'y': 0.610683739185333, 'z': -0.062633194029331}","{'x': 0.68842226266861, 'y': 0.622868537902832, 'z': 0.000723453005776}","{'x': 0.677474498748779, 'y': 0.548416256904602, 'z': -0.042614355683327}","{'x': 0.687029957771301, 'y': 0.64949095249176, 'z': -0.067112661898136}","{'x': 0.74186760187149, 'y': 0.61798632144928, 'z': -0.043526105582714}","{'x': 0.732806146144867, 'y': 0.604730665683746, 'z': 0.007725090719759}","{'x': 0.735208988189697, 'y': 0.538323640823364, 'z': -0.035161796957254}","{'x': 0.733227074146271, 'y': 0.633172154426575, 'z': -0.035003233700991}","{'x': 0.820514380931854, 'y': 0.650597751140594, 'z': -0.025350587442517}","{'x': 0.817667305469513, 'y': 0.610729575157166, 'z': -0.004816413391382}","{'x': 0.822395503520966, 'y': 0.593795955181122, 'z': -0.02994897402823}","{'x': 0.806886553764343, 'y': 0.661537528038025, 'z': -0.013656415045261}","{'x': 0.786479115486145, 'y': 0.64825850725174, 'z': -0.039839465171099}","{'x': 0.774902880191803, 'y': 0.602094292640686, 'z': 0.003476043231785}","{'x': 0.783844590187073, 'y': 0.571780979633331, 'z': -0.041742250323296}","{'x': 0.771387815475464, 'y': 0.649210751056671, 'z': -0.024240631610155}","{'x': 0.748027920722961, 'y': 0.785087823867798, 'z': -0.042099017649889}","{'x': 0.733471691608429, 'y': 0.617893397808075, 'z': -0.053436420857906}","{'x': 0.7066570520401, 'y': 0.699756383895874, 'z': -0.049749784171581}","{'x': 0.77289229631424, 'y': 0.57470840215683, 'z': -0.048243414610624}","{'x': 0.8152756690979, 'y': 0.814498901367188, 'z': -4.33394831e-07}"
0.0,{'Open_Palm': 0.693628191947937},"{'x': 0.430822551250458, 'y': 0.35220143198967, 'z': -0.019782800227404}","{'x': 0.376708507537842, 'y': 0.465681940317154, 'z': -0.003233184339479}","{'x': 0.412234604358673, 'y': 0.398625880479813, 'z': -0.010856278240681}","{'x': 0.444080680608749, 'y': 0.314812391996384, 'z': -0.027219690382481}","{'x': 0.360041052103043, 'y': 0.304292500019073, 'z': -0.012842456810176}","{'x': 0.334145098924637, 'y': 0.442643404006958, 'z': -0.001752013573423}","{'x': 0.350841283798218, 'y': 0.355727970600128, 'z': -0.00633094785735}","{'x': 0.367360889911652, 'y': 0.262871503829956, 'z': -0.018248025327921}","{'x': 0.218849509954453, 'y': 0.347657322883606, 'z': -0.034645292907953}","{'x': 0.249061554670334, 'y': 0.456479519605637, 'z': -0.012187920510769}","{'x': 0.229329764842987, 'y': 0.391462653875351, 'z': -0.027332540601492}","{'x': 0.212457448244095, 'y': 0.307794332504272, 'z': -0.038391951471567}","{'x': 0.311049848794937, 'y': 0.307311773300171, 'z': -0.024578971788287}","{'x': 0.292499542236328, 'y': 0.441191107034683, 'z': -0.005357606336474}","{'x': 0.302828133106232, 'y': 0.357621610164642, 'z': -0.015991004183888}","{'x': 0.318580746650696, 'y': 0.266216814517975, 'z': -0.03069550357759}","{'x': 0.343423753976822, 'y': 0.656683802604675, 'z': -0.026610294356942}","{'x': 0.45920342206955, 'y': 0.5587078332901, 'z': -0.038662791252136}","{'x': 0.410058319568634, 'y': 0.607758224010468, 'z': -0.033178228884935}","{'x': 0.49697744846344, 'y': 0.529002070426941, 'z': -0.043379969894886}","{'x': 0.267618745565414, 'y': 0.668375074863434, 'z': 4.08795984e-07}"
0.0,{'Closed_Fist': 0.98366367816925},"{'x': 0.311127960681915, 'y': 0.39526629447937, 'z': -0.041588690131903}","{'x': 0.309012353420258, 'y': 0.402064293622971, 'z': -0.00081757211592}","{'x': 0.330814272165298, 'y': 0.337758332490921, 'z': -0.029445625841618}","{'x': 0.297134131193161, 'y': 0.420849412679672, 'z': -0.045827474445105}","{'x': 0.267762035131454, 'y': 0.419585525989532, 'z': -0.042943712323904}","{'x': 0.266252309083939, 'y': 0.38711228966713, 'z': -0.001950012869202}","{'x': 0.281999140977859, 'y': 0.337510675191879, 'z': -0.036099124699831}","{'x': 0.258217036724091, 'y': 0.429136037826538, 'z': -0.039677765220404}","{'x': 0.196395486593246, 'y': 0.41691130399704, 'z': -0.026561865583062}","{'x': 0.178680211305618, 'y': 0.384119510650635, 'z': -0.013975815847516}","{'x': 0.195012152194977, 'y': 0.355760097503662, 'z': -0.038739677518606}","{'x': 0.189356088638306, 'y': 0.42923167347908, 'z': -0.011361321434379}","{'x': 0.231198564171791, 'y': 0.421968728303909, 'z': -0.036342334002256}","{'x': 0.224726647138596, 'y': 0.384694159030914, 'z': -0.007730563171208}","{'x': 0.23732453584671, 'y': 0.338768243789673, 'z': -0.047668911516666}","{'x': 0.222930893301964, 'y': 0.433273315429688, 'z': -0.018605466932058}","{'x': 0.262465327978134, 'y': 0.536440849304199, 'z': -0.019300349056721}","{'x': 0.315533697605133, 'y': 0.37623256444931, 'z': -0.025849610567093}","{'x': 0.317739069461823, 'y': 0.468241661787033, 'z': -0.023104827851057}","{'x': 0.277766495943069, 'y': 0.332265973091125, 'z': -0.02240994758904}","{'x': 0.196750983595848, 'y': 0.536522090435028, 'z': -3.90192582e-07}"
1.0,{'None': 0.825730800628662},"{'x': 0.611480832099915, 'y': 0.261238813400269, 'z': -0.087252609431744}","{'x': 0.66003155708313, 'y': 0.405442625284195, 'z': -0.040207426995039}","{'x': 0.639824569225311, 'y': 0.321224480867386, 'z': -0.065849006175995}","{'x': 0.582087337970734, 'y': 0.21344655752182, 'z': -0.101070575416088}","{'x': 0.633814096450806, 'y': 0.250793784856796, 'z': -0.06492306292057}","{'x': 0.678360402584076, 'y': 0.403563410043716, 'z': -0.034954462200403}","{'x': 0.667608082294464, 'y': 0.308423668146133, 'z': -0.052814543247223}","{'x': 0.60271143913269, 'y': 0.205731302499771, 'z': -0.074574269354343}","{'x': 0.645114481449127, 'y': 0.300798416137695, 'z': -0.0414182767272}","{'x': 0.688194453716278, 'y': 0.418854385614395, 'z': -0.027956448495388}","{'x': 0.670786798000336, 'y': 0.344533890485764, 'z': -0.039139028638601}","{'x': 0.622194707393646, 'y': 0.272059619426727, 'z': -0.042379837483168}","{'x': 0.641936182975769, 'y': 0.260198593139648, 'z': -0.052102271467447}","{'x': 0.687362432479858, 'y': 0.407375663518906, 'z': -0.030752092599869}","{'x': 0.676968574523926, 'y': 0.314434498548508, 'z': -0.045869942754507}","{'x': 0.61336475610733, 'y': 0.222358152270317, 'z': -0.055912896990776}","{'x': 0.649746417999268, 'y': 0.512296617031097, 'z': -0.022703483700752}","{'x': 0.590586543083191, 'y': 0.351224184036255, 'z': -0.040456719696522}","{'x': 0.612842440605164, 'y': 0.426247477531433, 'z': -0.034046322107315}","{'x': 0.566154003143311, 'y': 0.289877653121948, 'z': -0.046582210808992}","{'x': 0.707931160926819, 'y': 0.583245098590851, 'z': 4.71956753e-07}"
1.0,{'Closed_Fist': 0.803023636341095},"{'x': 0.464683055877686, 'y': 0.276437163352966, 'z': -0.044131401926279}","{'x': 0.465452611446381, 'y': 0.289796590805054, 'z': 0.014578761532903}","{'x': 0.454685389995575, 'y': 0.20780149102211, 'z': -0.027455488219857}","{'x': 0.473452687263489, 'y': 0.307381302118301, 'z': -0.045630820095539}","{'x': 0.504273474216461, 'y': 0.300633192062378, 'z': -0.031629532575607}","{'x': 0.509020805358887, 'y': 0.287216782569885, 'z': 0.013241447508335}","{'x': 0.502877712249756, 'y': 0.210993945598602, 'z': -0.028103882446885}","{'x': 0.505911350250244, 'y': 0.312341690063477, 'z': -0.019745662808418}","{'x': 0.577064633369446, 'y': 0.340515702962875, 'z': -0.018540052697062}","{'x': 0.59320741891861, 'y': 0.311061799526215, 'z': -0.012471478432417}","{'x': 0.58479243516922, 'y': 0.278203815221786, 'z': -0.032885801047087}","{'x': 0.578005373477936, 'y': 0.353962779045105, 'z': 0.00037801952567}","{'x': 0.543184340000153, 'y': 0.336399108171463, 'z': -0.029927495867014}","{'x': 0.551264345645905, 'y': 0.296400487422943, 'z': 0.001800816506147}","{'x': 0.549753606319427, 'y': 0.244682013988495, 'z': -0.042550940066576}","{'x': 0.542241036891937, 'y': 0.347179174423218, 'z': -0.0064991498366}","{'x': 0.509898543357849, 'y': 0.456086188554764, 'z': -0.027475750073791}","{'x': 0.478969812393188, 'y': 0.277988433837891, 'z': -0.043685633689165}","{'x': 0.47338879108429, 'y': 0.371390104293823, 'z': -0.035094395279884}","{'x': 0.499745458364487, 'y': 0.214367121458054, 'z': -0.043847732245922}","{'x': 0.570334434509277, 'y': 0.485321998596191, 'z': -5.28077692e-07}"
1.0,{'Open_Palm': 0.591972053050995},"{'x': 0.266524374485016, 'y': 0.218019098043442, 'z': -0.047568563371897}","{'x': 0.319274336099625, 'y': 0.359266549348831, 'z': -0.020836811512709}","{'x': 0.284884124994278, 'y': 0.273018538951874, 'z': -0.035297460854053}","{'x': 0.254260212182999, 'y': 0.171706646680832, 'z': -0.05837194621563}","{'x': 0.334179103374481, 'y': 0.162726119160652, 'z': -0.052501067519188}","{'x': 0.362553924322128, 'y': 0.334365516901016, 'z': -0.027646068483591}","{'x': 0.344395518302917, 'y': 0.229266941547394, 'z': -0.039363767951727}","{'x': 0.32734403014183, 'y': 0.109088033437729, 'z': -0.063569121062756}","{'x': 0.497935861349106, 'y': 0.251612305641174, 'z': -0.091912962496281}","{'x': 0.447441011667252, 'y': 0.363983780145645, 'z': -0.050239332020283}","{'x': 0.479146420955658, 'y': 0.299480020999908, 'z': -0.075984582304955}","{'x': 0.512378811836243, 'y': 0.203634366393089, 'z': -0.102788522839546}","{'x': 0.402152478694916, 'y': 0.16698731482029, 'z': -0.077524483203888}","{'x': 0.405791431665421, 'y': 0.336916029453278, 'z': -0.038160718977451}","{'x': 0.40527668595314, 'y': 0.232562780380249, 'z': -0.058323822915554}","{'x': 0.398116946220398, 'y': 0.108313709497452, 'z': -0.092346049845219}","{'x': 0.359651267528534, 'y': 0.568620979785919, 'z': -0.022894026711583}","{'x': 0.242220163345337, 'y': 0.482072651386261, 'z': -0.046221148222685}","{'x': 0.292883098125458, 'y': 0.519807100296021, 'z': -0.035153098404408}","{'x': 0.19744685292244, 'y': 0.468619257211685, 'z': -0.058083217591047}","{'x': 0.432403266429901, 'y': 0.578844428062439, 'z': 5.16200885e-07}"
0.0,{'None': 0.714209794998169},"{'x': 0.360105872154236, 'y': 0.264745891094208, 'z': -0.049290470778942}","{'x': 0.345641642808914, 'y': 0.352135062217712, 'z': -0.000141437558341}","{'x': 0.356822162866592, 'y': 0.271444320678711, 'z': -0.028147105127573}","{'x': 0.359131217002869, 'y': 0.294348955154419, 'z': -0.058804985135794}","{'x': 0.308870077133179, 'y': 0.265126019716263, 'z': -0.04026049003005}","{'x': 0.301445782184601, 'y': 0.334879159927368, 'z': -8.1644910097e-05}","{'x': 0.309700012207031, 'y': 0.235027670860291, 'z': -0.026649450883269}","{'x': 0.308756768703461, 'y': 0.312680810689926, 'z': -0.04268317297101}","{'x': 0.222413778305054, 'y': 0.334584474563599, 'z': -0.041868269443512}","{'x': 0.211489111185074, 'y': 0.354667007923126, 'z': -0.013600029982626}","{'x': 0.211782559752464, 'y': 0.296749234199524, 'z': -0.041295636445284}","{'x': 0.228926867246628, 'y': 0.382119029760361, 'z': -0.035040725022554}","{'x': 0.263223737478256, 'y': 0.284994602203369, 'z': -0.037661619484425}","{'x': 0.259216159582138, 'y': 0.336427211761475, 'z': -0.005607947241515}","{'x': 0.260034799575806, 'y': 0.238585293292999, 'z': -0.036472301930189}","{'x': 0.265288144350052, 'y': 0.341829746961594, 'z': -0.030261442065239}","{'x': 0.311941295862198, 'y': 0.520835220813751, 'z': -0.025812527164817}","{'x': 0.371264040470123, 'y': 0.379042416810989, 'z': -0.050083350390196}","{'x': 0.36637270450592, 'y': 0.465878665447235, 'z': -0.037331253290176}","{'x': 0.355012536048889, 'y': 0.312463819980621, 'z': -0.061888393014669}","{'x': 0.236058339476585, 'y': 0.550710678100586, 'z': 8.4688317e-08}"
0.0,{'None': 0.691932260990143},"{'x': 0.531326651573181, 'y': 0.419195264577866, 'z': -0.050981413573027}","{'x': 0.477727681398392, 'y': 0.443885445594788, 'z': 0.002109052613378}","{'x': 0.503255903720856, 'y': 0.395447701215744, 'z': -0.027744984254241}","{'x': 0.550547897815704, 'y': 0.452971875667572, 'z': -0.062842398881912}","{'x': 0.507823765277863, 'y': 0.437008649110794, 'z': -0.054969754070044}","{'x': 0.447701930999756, 'y': 0.429817050695419, 'z': -0.003533150767908}","{'x': 0.48425954580307, 'y': 0.378752171993256, 'z': -0.036796789616346}","{'x': 0.512862801551819, 'y': 0.486753731966019, 'z': -0.060102574527264}","{'x': 0.412047564983368, 'y': 0.453318059444427, 'z': -0.048137553036213}","{'x': 0.359276086091995, 'y': 0.429575681686401, 'z': -0.024935806170106}","{'x': 0.394876897335052, 'y': 0.395873337984085, 'z': -0.054137405008078}","{'x': 0.40792578458786, 'y': 0.498866587877274, 'z': -0.036033801734447}","{'x': 0.456331253051758, 'y': 0.45081627368927, 'z': -0.05285419896245}","{'x': 0.408933728933334, 'y': 0.424709916114807, 'z': -0.013716427609324}","{'x': 0.443899661302567, 'y': 0.377401053905487, 'z': -0.052195258438587}","{'x': 0.448421061038971, 'y': 0.502395033836365, 'z': -0.042900685220957}","{'x': 0.460455715656281, 'y': 0.601085662841797, 'z': -0.016855079680681}","{'x': 0.530223846435547, 'y': 0.479575097560883, 'z': -0.032426953315735}","{'x': 0.516057014465332, 'y': 0.541399121284485, 'z': -0.02337515167892}","{'x': 0.52984893321991, 'y': 0.429636240005493, 'z': -0.040993217378855}","{'x': 0.399177461862564, 'y': 0.622602164745331, 'z': 1.27800263e-07}"
0.0,{'Closed_Fist': 0.977606296539307},"{'x': 0.690343797206879, 'y': 0.732843697071075, 'z': -0.086083427071571}","{'x': 0.674481809139252, 'y': 0.65540224313736, 'z': -0.023286240175366}","{'x': 0.719855546951294, 'y': 0.652179479598999, 'z': -0.068051308393478}","{'x': 0.664612710475922, 'y': 0.737481534481049, 'z': -0.093733422458172}","{'x': 0.642041921615601, 'y': 0.73918354511261, 'z': -0.074734538793564}","{'x': 0.628872752189636, 'y': 0.617289185523987, 'z': -0.025030605494976}","{'x': 0.672803997993469, 'y': 0.635802090167999, 'z': -0.069480419158936}","{'x': 0.625067055225372, 'y': 0.719275951385498, 'z': -0.068976029753685}","{'x': 0.554149448871613, 'y': 0.739129662513733, 'z': -0.068807899951935}","{'x': 0.530383884906769, 'y': 0.613324403762817, 'z': -0.045815885066986}","{'x': 0.566003084182739, 'y': 0.671694219112396, 'z': -0.078055135905743}","{'x': 0.532518804073334, 'y': 0.725562274456024, 'z': -0.054180435836315}","{'x': 0.595288574695587, 'y': 0.745901465415955, 'z': -0.069858714938164}","{'x': 0.580418407917023, 'y': 0.607298493385315, 'z': -0.03392056748271}","{'x': 0.618761897087097, 'y': 0.64846670627594, 'z': -0.082888923585415}","{'x': 0.57380884885788, 'y': 0.728087365627289, 'z': -0.050901871174574}","{'x': 0.594661176204681, 'y': 0.867621123790741, 'z': -0.037682514637709}","{'x': 0.700737953186035, 'y': 0.743247389793396, 'z': -0.083267219364643}","{'x': 0.67537122964859, 'y': 0.822992026805878, 'z': -0.061704330146313}","{'x': 0.667241036891937, 'y': 0.676143109798431, 'z': -0.096171334385872}","{'x': 0.521754086017609, 'y': 0.869293928146362, 'z': -3.5403707e-07}"
0.0,{'Open_Palm': 0.584139347076416},"{'x': 0.707542061805725, 'y': 0.433389723300934, 'z': -0.040115714073181}","{'x': 0.617394506931305, 'y': 0.523873627185822, 'z': -0.010255731642246}","{'x': 0.67596435546875, 'y': 0.46883362531662, 'z': -0.024041080847383}","{'x': 0.731587529182434, 'y': 0.400467455387115, 'z': -0.053270269185305}","{'x': 0.644181370735168, 'y': 0.338679194450378, 'z': -0.030731756240129}","{'x': 0.577851116657257, 'y': 0.476679921150208, 'z': -0.009950965642929}","{'x': 0.621478617191315, 'y': 0.390336364507675, 'z': -0.018909668549895}","{'x': 0.65959233045578, 'y': 0.296135723590851, 'z': -0.040994573384523}","{'x': 0.472290843725204, 'y': 0.324848830699921, 'z': -0.05069038644433}","{'x': 0.481096208095551, 'y': 0.45660012960434, 'z': -0.026493383571506}","{'x': 0.47458279132843, 'y': 0.377357453107834, 'z': -0.042355392128229}","{'x': 0.473607003688812, 'y': 0.276785045862198, 'z': -0.056020248681307}","{'x': 0.578265428543091, 'y': 0.309265702962875, 'z': -0.042525496333838}","{'x': 0.532185971736908, 'y': 0.456069827079773, 'z': -0.015932884067297}","{'x': 0.560158252716064, 'y': 0.36332380771637, 'z': -0.029200837016106}","{'x': 0.59565144777298, 'y': 0.262634456157684, 'z': -0.052589859813452}","{'x': 0.533228278160095, 'y': 0.723639070987701, 'z': -0.035863164812326}","{'x': 0.677167952060699, 'y': 0.732246279716492, 'z': -0.070478916168213}","{'x': 0.611533105373383, 'y': 0.728788018226624, 'z': -0.053156871348619}","{'x': 0.727092981338501, 'y': 0.757374346256256, 'z': -0.087545812129974}","{'x': 0.450856924057007, 'y': 0.69810289144516, 'z': 5.98274312e-07}"
1.0,{'Open_Palm': 0.6194788813591},"{'x': 0.635378777980804, 'y': 0.657558739185333, 'z': -0.085722573101521}","{'x': 0.677495419979095, 'y': 0.814046323299408, 'z': -0.045602187514305}","{'x': 0.648844540119171, 'y': 0.719042003154755, 'z': -0.068959407508373}","{'x': 0.628089547157288, 'y': 0.60856831073761, 'z': -0.097480639815331}","{'x': 0.702038288116455, 'y': 0.614430069923401, 'z': -0.081750266253948}","{'x': 0.726794838905334, 'y': 0.796199381351471, 'z': -0.045483019202948}","{'x': 0.711093246936798, 'y': 0.686333894729614, 'z': -0.06514598429203}","{'x': 0.698250412940979, 'y': 0.556125044822693, 'z': -0.094064436852932}","{'x': 0.844845652580261, 'y': 0.703924655914307, 'z': -0.086914278566837}","{'x': 0.823462545871735, 'y': 0.828371584415436, 'z': -0.053507100790739}","{'x': 0.835411310195923, 'y': 0.753326237201691, 'z': -0.075474001467228}","{'x': 0.852717876434326, 'y': 0.659898698329926, 'z': -0.093746654689312}","{'x': 0.761423945426941, 'y': 0.631493926048279, 'z': -0.087867632508278}","{'x': 0.776499152183533, 'y': 0.803783714771271, 'z': -0.048541702330112}","{'x': 0.768099367618561, 'y': 0.698139250278473, 'z': -0.070548333227634}","{'x': 0.758022427558899, 'y': 0.576406955718994, 'z': -0.099625684320927}","{'x': 0.715086579322815, 'y': 0.998360931873322, 'z': -0.034857071936131}","{'x': 0.603095531463623, 'y': 0.90908420085907, 'z': -0.079565487802029}","{'x': 0.653124511241913, 'y': 0.955684542655945, 'z': -0.059147786349058}","{'x': 0.559086084365845, 'y': 0.87036269903183, 'z': -0.100340709090233}","{'x': 0.78801816701889, 'y': 1.004254341125488, 'z': 5.98247652e-07}"
1.0,{'Open_Palm': 0.6528000831604},"{'x': 0.561936974525452, 'y': 0.464296519756317, 'z': -0.033238664269447}","{'x': 0.604547619819641, 'y': 0.603576958179474, 'z': -0.008803015574813}","{'x': 0.576380372047424, 'y': 0.517121553421021, 'z': -0.020780110731721}","{'x': 0.552568435668945, 'y': 0.417746901512146, 'z': -0.044032912701368}","{'x': 0.62160313129425, 'y': 0.423318147659302, 'z': -0.030551992356777}","{'x': 0.647558987140656, 'y': 0.585296154022217, 'z': -0.011109275743365}","{'x': 0.631428301334381, 'y': 0.484238743782043, 'z': -0.019258454442024}","{'x': 0.614012598991394, 'y': 0.374514132738113, 'z': -0.040490306913853}","{'x': 0.758044838905334, 'y': 0.499554127454758, 'z': -0.050737708806992}","{'x': 0.73040109872818, 'y': 0.614754974842072, 'z': -0.028269508853555}","{'x': 0.748052716255188, 'y': 0.54733270406723, 'z': -0.042606361210346}","{'x': 0.765413582324982, 'y': 0.452844649553299, 'z': -0.057299844920635}","{'x': 0.676035940647125, 'y': 0.43722876906395, 'z': -0.043034326285124}","{'x': 0.689356684684753, 'y': 0.591022491455078, 'z': -0.01825986802578}","{'x': 0.683431446552277, 'y': 0.496020972728729, 'z': -0.031217716634274}","{'x': 0.667939126491547, 'y': 0.384829998016357, 'z': -0.053210396319628}","{'x': 0.625525593757629, 'y': 0.815032422542572, 'z': -0.025915697216988}","{'x': 0.531573057174683, 'y': 0.671378910541534, 'z': -0.042321048676968}","{'x': 0.569055497646332, 'y': 0.739946007728577, 'z': -0.035045631229877}","{'x': 0.492024421691895, 'y': 0.628143191337585, 'z': -0.048740535974503}","{'x': 0.693731904029846, 'y': 0.839052319526672, 'z': 3.62790985e-07}"
1.0,{'Closed_Fist': 0.80610728263855},"{'x': 0.563125669956207, 'y': 0.595021426677704, 'z': -0.047103449702263}","{'x': 0.564660668373108, 'y': 0.608780264854431, 'z': 0.008292375132442}","{'x': 0.554936289787292, 'y': 0.528899133205414, 'z': -0.030548261478543}","{'x': 0.571792244911194, 'y': 0.626297056674957, 'z': -0.050453905016184}","{'x': 0.599908053874969, 'y': 0.601472854614258, 'z': -0.039298862218857}","{'x': 0.607029855251312, 'y': 0.601433575153351, 'z': 0.003414507489651}","{'x': 0.597885310649872, 'y': 0.521221578121185, 'z': -0.034864436835051}","{'x': 0.605399966239929, 'y': 0.6190105676651, 'z': -0.029937297105789}","{'x': 0.671390891075134, 'y': 0.644650161266327, 'z': -0.030154088512063}","{'x': 0.692798614501953, 'y': 0.620726823806763, 'z': -0.024458318948746}","{'x': 0.677576303482056, 'y': 0.581850111484528, 'z': -0.044423084706068}","{'x': 0.675025939941406, 'y': 0.66708904504776, 'z': -0.012032073922455}","{'x': 0.641084611415863, 'y': 0.637430310249329, 'z': -0.037465967237949}","{'x': 0.649642765522003, 'y': 0.606387317180634, 'z': -0.009435472078621}","{'x': 0.644315540790558, 'y': 0.548327267169952, 'z': -0.050020318478346}","{'x': 0.6444051861763, 'y': 0.659316897392273, 'z': -0.015500779263675}","{'x': 0.606738150119781, 'y': 0.756544888019562, 'z': -0.020950196310878}","{'x': 0.591779947280884, 'y': 0.591110348701477, 'z': -0.039515655487776}","{'x': 0.572849035263062, 'y': 0.677464246749878, 'z': -0.029326329007745}","{'x': 0.621944844722748, 'y': 0.535481691360474, 'z': -0.04320115596056}","{'x': 0.66775643825531, 'y': 0.792339205741882, 'z': -5.06427114e-07}"
1.0,{'Open_Palm': 0.626816689968109},"{'x': 0.484522581100464, 'y': 0.444595992565155, 'z': -0.038785047829151}","{'x': 0.519500970840454, 'y': 0.590031206607819, 'z': -0.014239347539842}","{'x': 0.496442943811417, 'y': 0.500852108001709, 'z': -0.026772817596793}","{'x': 0.47744807600975, 'y': 0.396514892578125, 'z': -0.049517866224051}","{'x': 0.557292461395264, 'y': 0.414481103420258, 'z': -0.036320999264717}","{'x': 0.564617037773132, 'y': 0.576446235179901, 'z': -0.016608623787761}","{'x': 0.560018002986908, 'y': 0.475017845630646, 'z': -0.02582510560751}","{'x': 0.555860102176666, 'y': 0.364726841449738, 'z': -0.04541901871562}","{'x': 0.70179671049118, 'y': 0.513908565044403, 'z': -0.064918152987957}","{'x': 0.645298957824707, 'y': 0.616816699504852, 'z': -0.034046493470669}","{'x': 0.680335581302643, 'y': 0.557144701480865, 'z': -0.053545635193586}","{'x': 0.719248116016388, 'y': 0.470405250787735, 'z': -0.072973690927029}","{'x': 0.613216161727905, 'y': 0.432145595550537, 'z': -0.054209031164646}","{'x': 0.606590747833252, 'y': 0.58672821521759, 'z': -0.023929685354233}","{'x': 0.61332768201828, 'y': 0.49113193154335, 'z': -0.040490921586752}","{'x': 0.612121760845184, 'y': 0.378346383571625, 'z': -0.064918152987957}","{'x': 0.519718647003174, 'y': 0.804989159107208, 'z': -0.027981147170067}","{'x': 0.419551521539688, 'y': 0.673747181892395, 'z': -0.050749886780977}","{'x': 0.463592857122421, 'y': 0.731826364994049, 'z': -0.040206607431173}","{'x': 0.373844146728516, 'y': 0.641911685466766, 'z': -0.060937773436308}","{'x': 0.589844405651093, 'y': 0.833868086338043, 'z': 4.43226924e-07}"
1.0,{'Closed_Fist': 0.832895517349243},"{'x': 0.363418370485306, 'y': 0.4529949426651, 'z': -0.046327758580446}","{'x': 0.37616354227066, 'y': 0.437398910522461, 'z': -0.000225005598622}","{'x': 0.360524326562881, 'y': 0.387705117464066, 'z': -0.034155715256929}","{'x': 0.374929964542389, 'y': 0.467702448368073, 'z': -0.049850780516863}","{'x': 0.396599233150482, 'y': 0.459863215684891, 'z': -0.040690921247005}","{'x': 0.414239943027496, 'y': 0.43196764588356, 'z': -0.003172923345119}","{'x': 0.400984138250351, 'y': 0.379854559898376, 'z': -0.039845395833254}","{'x': 0.406741708517075, 'y': 0.464271605014801, 'z': -0.030192313715816}","{'x': 0.454379796981812, 'y': 0.509825587272644, 'z': -0.034877933561802}","{'x': 0.486846029758453, 'y': 0.459629386663437, 'z': -0.028025653213263}","{'x': 0.462981283664703, 'y': 0.457674115896225, 'z': -0.046010687947273}","{'x': 0.463360637426376, 'y': 0.50731486082077, 'z': -0.021279061213136}","{'x': 0.427542328834534, 'y': 0.491783291101456, 'z': -0.037026975303888}","{'x': 0.450225055217743, 'y': 0.442701309919357, 'z': -0.014144939370453}","{'x': 0.43695741891861, 'y': 0.411553382873535, 'z': -0.051189530640841}","{'x': 0.435639202594757, 'y': 0.491534918546677, 'z': -0.016919320449233}","{'x': 0.394024580717087, 'y': 0.600573718547821, 'z': -0.02545384503901}","{'x': 0.367001533508301, 'y': 0.440143346786499, 'z': -0.045094702392817}","{'x': 0.355396062135696, 'y': 0.521608293056488, 'z': -0.035388771444559}","{'x': 0.400919824838638, 'y': 0.393592357635498, 'z': -0.048089273273945}","{'x': 0.451222628355026, 'y': 0.620049715042114, 'z': -4.72524675e-07}"
